State/Union Territory/District,Census Year,Persons,Absolute change since previous census,Percentage change since previous census,Males,Females,SexRatioCol,Growth Rate
Gurdaspur,1901,702372,,,378985,323387,853.30,0
Kapurthala,1901,,,,,,,0
Kapurthala,1911,,,,,,,0
Kapurthala,1921,,,,,,,0
Kapurthala,1931,,,,,,,0
Kapurthala,1941,,,,,,,0
Kapurthala,1951,295071,,,156921,138150,880.38,0
Jalandhar,1901,721579,,,390550,331029,847.60,0
Hoshiarpur,1901,650662,,,346426,304236,878.21,0
Shahid Bhagat Singh Nagar,1901,269801,,,145365,124436,856.02,0
Fatehgarh Sahib,1901,,,,,,,0
Fatehgarh Sahib,1911,,,,,,,0
Fatehgarh Sahib,1921,,,,,,,0
Fatehgarh Sahib,1931,,,,,,,0
Fatehgarh Sahib,1941,,,,,,,0
Fatehgarh Sahib,1951,191919,,,108220,83699,773.42,0
Ludhiana,1901,685038,,,374454,310584,829.43,0
Moga,1901,,,,,,,0
Moga,1911,,,,,,,0
Moga,1921,,,,,,,0
Moga,1931,,,,,,,0
Moga,1941,,,,,,,0
Moga,1951,379181,,,203121,176060,866.77,0
Firozpur,1901,433179,,,237195,195984,826.26,0
Muktsar,1901,,,,,,,0
Muktsar,1911,,,,,,,0
Muktsar,1921,,,,,,,0
Muktsar,1931,,,,,,,0
Muktsar,1941,,,,,,,0
Muktsar,1951,266498,,,143135,123363,861.86,0
Faridkot,1901,,,,,,,0
Faridkot,1911,,,,,,,0
Faridkot,1921,,,,,,,0
Faridkot,1931,,,,,,,0
Faridkot,1941,,,,,,,0
Faridkot,1951,182145,,,98135,84010,856.07,0
Bathinda,1901,,,,,,,0
Bathinda,1911,,,,,,,0
Bathinda,1921,,,,,,,0
Bathinda,1931,,,,,,,0
Bathinda,1941,,,,,,,0
Bathinda,1951,377757,,,205420,172337,838.95,0
Mansa,1901,,,,,,,0
Mansa,1911,,,,,,,0
Mansa,1921,,,,,,,0
Mansa,1931,,,,,,,0
Mansa,1941,,,,,,,0
Mansa,1951,241932,,,132617,109315,824.29,0
Patiala,1901,,,,,,,0
Patiala,1911,,,,,,,0
Patiala,1921,,,,,,,0
Patiala,1931,,,,,,,0
Patiala,1941,,,,,,,0
Patiala,1951,482517,,,267786,214731,801.88,0
Amritsar,1901,764821,,,418177,346644,828.94,0
Tarn Taran,1901,422024,,,230747,191277,828.95,0
