,State/Union Territory/District,Census Year,Persons,Absolute change since previous census,Percentage change since previous census,Males,Females
2,PUNJAB,1901,7544790,,,4118386,3426404
3,PUNJAB,1911,6731510,-813280,-10.779359,3782236,2949274
4,PUNJAB,1921,7152811,421301,6.258640335,3976180,3176631
5,PUNJAB,1931,8012325,859514,12.0164506,4415292,3597033
6,PUNJAB,1941,9600236,1587911,19.81835485,5228280,4371956
7,PUNJAB,1951,9160500,-439736,-4.58047073,4968206,4192294
8,PUNJAB,1961,11135069,1974569,21.55525353,6007566,5127503
9,PUNJAB,1971,13551060,2415991,21.69713542,7266515,6284545
10,PUNJAB,1981,16788915,3237855,23.89373968,8937210,7851705
11,PUNJAB,1991,20281969,3493054,20.80571615,10778034,9503935
12,PUNJAB,2001,24358999,4077030,20.10174653,12985045,11373954
13,PUNJAB,2011,27743338,3384339,13.89358816,14639465,13103873
14,Gurdaspur,1901,702372,,,378985,323387
15,Gurdaspur,1911,622008,-80364,-11.44180007,350693,271315
16,Gurdaspur,1921,634394,12386,1.991292716,353615,280779
17,Gurdaspur,1931,718523,84129,13.2613171,397193,321330
18,Gurdaspur,1941,854968,136445,18.9896496,463969,390999
19,Gurdaspur,1951,851140,-3828,-0.447736056,461017,390123
20,Gurdaspur,1961,980868,129728,15.24167587,524739,456129
21,Gurdaspur,1971,1229464,248596,25.3444908,650393,579071
22,Gurdaspur,1981,1513435,283971,23.09713827,793484,719951
23,Gurdaspur,1991,1756732,243297,16.07581429,923343,833389
24,Gurdaspur,2001,2103455,346723,19.73681814,1112785,990670
25,Gurdaspur,2011,2298323,194868,9.264186778,1212617,1085706
26,Kapurthala,1901,,,,,
27,Kapurthala,1911,,,,,
28,Kapurthala,1921,,,,,
29,Kapurthala,1931,,,,,
30,Kapurthala,1941,,,,,
31,Kapurthala,1951,295071,,,156921,138150
32,Kapurthala,1961,343778,48707,16.50687462,182299,161479
33,Kapurthala,1971,429514,85736,24.93935039,227331,202183
34,Kapurthala,1981,545249,115735,26.94557104,287286,257963
35,Kapurthala,1991,646647,101398,18.59664117,341030,305617
36,Kapurthala,2001,754521,107874,16.68205373,399623,354898
37,Kapurthala,2011,815168,60647,8.03781472,426311,388857
38,Jalandhar,1901,721579,,,390550,331029
39,Jalandhar,1911,630769,-90810,-12.58490061,353813,276956
40,Jalandhar,1921,647086,16317,2.58684241,358037,289049
41,Jalandhar,1931,742659,95573,14.7697524,403439,339220
42,Jalandhar,1941,887080,144421,19.44647543,477098,409982
43,Jalandhar,1951,829858,-57222,-6.450601975,446829,383029
44,Jalandhar,1961,981801,151943,18.30951801,525811,455990
45,Jalandhar,1971,1175196,193395,19.6979836,624020,551176
46,Jalandhar,1981,1406587,231391,19.68956668,744164,662423
47,Jalandhar,1991,1649937,243350,17.30074286,869627,780310
48,Jalandhar,2001,1962761,312824,18.95975422,1040212,922549
49,Jalandhar,2011,2193590,230829,11.7604232,1145211,1048379
50,Hoshiarpur,1901,650662,,,346426,304236
51,Hoshiarpur,1911,603685,-46977,-7.219877602,330191,273494
