,Unnamed: 0,District,Census Year,Persons,Absolute change since previous census,Percentage change since previous census,Males,Females,Decade,Growth Rate
6,8,PUNJAB,1961,11135069.0,1974569.0,21.55525353,6007566.0,5127503.0,1960,21.55525353419574
7,9,PUNJAB,1971,13551060.0,2415991.0,21.69713542,7266515.0,6284545.0,1970,21.697135419636826
8,10,PUNJAB,1981,16788915.0,3237855.0,23.89373968,8937210.0,7851705.0,1980,23.893739677929247
9,11,PUNJAB,1991,20281969.0,3493054.0,20.80571615,10778034.0,9503935.0,1990,20.805716152592346
10,12,PUNJAB,2001,24358999.0,4077030.0,20.10174653,12985045.0,11373954.0,2000,20.101746531611408
11,13,PUNJAB,2011,27743338.0,3384339.0,13.89358816,14639465.0,13103873.0,2010,13.893588156065029
18,20,Gurdaspur,1961,980868.0,129728.0,15.24167587,524739.0,456129.0,1960,15.24167587000964
19,21,Gurdaspur,1971,1229464.0,248596.0,25.3444908,650393.0,579071.0,1970,25.344490797946317
20,22,Gurdaspur,1981,1513435.0,283971.0,23.09713827,793484.0,719951.0,1980,23.09713826513018
21,23,Gurdaspur,1991,1756732.0,243297.0,16.07581429,923343.0,833389.0,1990,16.07581429000915
22,24,Gurdaspur,2001,2103455.0,346723.0,19.73681814,1112785.0,990670.0,2000,19.73681813731405
23,25,Gurdaspur,2011,2298323.0,194868.0,9.264186778,1212617.0,1085706.0,2010,9.264186778419315
30,32,Kapurthala,1961,343778.0,48707.0,16.50687462,182299.0,161479.0,1960,16.506874616617708
31,33,Kapurthala,1971,429514.0,85736.0,24.93935039,227331.0,202183.0,1970,24.939350394731473
32,34,Kapurthala,1981,545249.0,115735.0,26.94557104,287286.0,257963.0,1980,26.9455710407577
33,35,Kapurthala,1991,646647.0,101398.0,18.59664117,341030.0,305617.0,1990,18.596641167613328
34,36,Kapurthala,2001,754521.0,107874.0,16.68205373,399623.0,354898.0,2000,16.682053732561975
35,37,Kapurthala,2011,815168.0,60647.0,8.03781472,426311.0,388857.0,2010,8.037814719537305
